id,script,inflection,comment
139,a train failure,m,
140,overhead electric line problems,m,
141,a signalling apparatus failure,m,
142,mechanical problems,m,
143,trespass on the line,m,
144,an incident on the line,m,
145,suspected damage to a railway bridge,m,
146,cancellation of the incoming service,m,
147,adverse weather conditions,m,
148,a power supply problem,e,
149,a derailment,m,
150,we apologise to passengers just arrived at,s,
151,for the late arrival of their train,e,
152,this was due to,s,
153,is not in public service,e,
154,please do not join this train,w,
155,the train just arrived at,s,
156,"all change please, all change",w,
157,the next train to arrive at,s,
158,will depart from,m,
159,will be the first stop,e,
160,fast from,m,
161,please proceed to,m,
162,please change at,m,
163,also,m,
164,intermediate stations to,m,
165,at,m,
166,terminates at,m,
167,red funnel ferry service to,m,
169,where the train will terminate due to engineering work,e,
170,a special bus service is in operation from,s,
171,international services to,,
172,please stand well away from the edge of,s,
173,the approaching train will not stop,e,
174,fast train approaching,e,
175,services are subject to delays and possible cancellations,e,
176,has been cancelled,m,
177,this station,,
178,please proceed to the front of the station,w,
179,is the (uh),m,
180,is the (ee),m,
181,divides here,e,
182,platform 1,s,
183,this station,e,
184,is delayed,e,
185,a buffet service,m,
186,a restaurant service,m,
187,a pullman restaurant service,m,
188,for first class ticket holders,m,
189,the advertised catering service,s,
190,is not available,m,
191,on this train today,m,
192,passengers travelling to,s,
193,rotterdam or zeebrugge,m,
194,on the,m,
195,north sea ferry,m,
196,should make their way,m,
199,the train approaching,s,
200,is for,m,
201,1,s,
202,2,s,
203,3,s,
204,4,s,
205,5,s,
206,6,s,
207,7,s,
208,8,s,
209,9,s,
210,10,s,
211,11,s,
212,12,s,
213,13,s,
214,14,s,
215,15,s,
216,16,s,
217,17,s,
218,18,s,
219,19,s,
220,20,s,
221,1,m,
222,2,m,
223,3,m,
224,4,m,
225,5,m,
226,6,m,
227,7,m,
228,8,m,
229,9,m,
230,10,m,
231,11,m,
232,12,m,
233,13,m,
234,14,m,
235,15,m,
236,16,m,
237,17,m,
238,18,m,
239,19,m,
240,20,m,
241,1,e,
242,2,e,
243,3,e,
244,4,e,
245,5,e,
246,6,e,
247,7,e,
248,8,e,
249,9,e,
250,10,e,
251,11,e,
252,12,e,
253,13,e,
254,14,e,
255,15,e,
256,16,e,
257,17,e,
258,18,e,
259,19,e,
260,20,e,
261,a,"s,m",
262,b,"s,m",
263,c,"s,m",
264,d,"s,m",
265,a,e,
266,b,e,
267,c,e,
268,d,e,
269,first premier accomodation,,
270,first accomodation,,
271,e and f,,
272,intercity,,
273,an ems bar is situated on this train,,
274,coaches e and f,,
275,midland mainline turbostar,m,
276,intercity crosscountry,m,
277,metro train,m,
278,trainspennine express,m,
279,where the train will continue to,m,
280,yorkshire pullman,m,
281,the armada,m,
282,the devonian,m,
283,the cornishman,m,
284,the hull executive,m,
285,additional,m,
286,south west turbo,m,
287,special,m,
288,special charter,m,
289,special excursion,m,
290,dorset scot,m,
291,the pines express,m,
292,royal wessex,m,
293,the wessex scot,m,
294,arriva trains,m,
295,transpennine,m,
296,network express,m,
297,network south central,m,
298,channel island express,m,
299,sleeper,m,
300,stopping,m,
301,coastal,m,
302,coastway,m,
303,southampton shuttle,m,
304,south west trains shuttle,m,
305,south west trains,m,
306,the station forecourt,e,
307,the station entrance,e,
308,the side entrance,e,
309,the side exit,e,
310,a replacement bus service is in operation from,s,
311,where the train will restart for,m,
312,where the train will then divide,m,
313,eurostar services to,m,
314,please make sure you travel in the correct part of this train,e,
315,must travel in the,m,
316,a security alert,,
317,where the train will divide,e,newer recording
318,please travel in the,s,
319,please stand clear while,s,
320,the detachment is being made,e,
323,train is divided,e,
324,via greenwich,m,
325,via greenwich,e,
326,via sidcup,m,
327,via sidcup,e,
328,via bexley heath,m,
329,via bexley heath,e,
331,please change here,s,
332,the city centre,m,
333,the docks,m,
337,via blackheath and woolwich,m,
338,via blackheath and woolwich,e,
339,this train will divide here,s,
340,via north kent,m,
341,via north kent,e,
342,the train now at,s,
344,via lewisham,m,
345,via lewisham,e,
347,a special bus service is in operation between,s,
349,via ladywell,m,
350,via ladywell,e,
351,stand well away from the edge of,s,
352,stand away please,w,
353,stand away,w,
354,please do not travel in,s,
355,this service is fast to,s,
356,this service is fast from,s,
357,please note that the formation,s,
358,is reversed,e,
359,will be detached and terminated at,m,
360,will be detached and will terminate at,m,
362,customers are requested,s,
363,not to leave luggage and personal belongings unattended,m,
364,as these may be removed without notice,e,
365,the next train at platform,s,
366,will be a special charter train,e,
367,only customers holding special charter train,s,
368,tickets may board this service,e,
369,is a special charter train,e,
370,will customers holding seat reservations for this service,w,
371,first class accomodation,s,
372,coach a,s,
373,coach h,e,
374,will be towards the rear of this train,e,
375,and the guard's van,,
376,will be towards the front of the train,,
377,for customers travelling to birmingham and the north,s,
378,due to the cancellation of the service,m,
379,customers wishing to do so,m,
380,may travel via london,m,
381,at no extra charge,m,
382,if you wish to continue your journey via london,m,
383,please see the station supervisor on platform 1,m,
384,who will arrange for your tickets to be endorsed,e,
385,we apologise to customers for the delay to your journey that this will cause,s,
386,and for the inconvenience of having to travel via london,e,
387,due to the severe delay to this service,s,
388,for the benefit of customers with luggage,m,
389,or who have difficulty using the stairs,m,
390,a lift is available,m,
391,behind the footbridge on this platform,e,
392,there are two trains at this platform,w,
393,please be sure you join the correct train.,w,
394,please note,,
395,that this is a platform alteration to this service,,
396,please make your way to platform five,,
397,which is at the far end of platform four,,
398,beyond the footbridge,,
399,sfx - beep,,
400,sfx - four chimes,,
401,ABD,m,
402,ACR,m,
403,"ADC,ADL",m,
404,AWK,m,
405,ALF (old),m,
406,Allerton,m,
407,ALM,m,
408,ALP,m,
409,ANN,m,
410,AFV,m,
411,APP,m,
412,APB,m,
413,ARB,m,
414,ADK,m,
415,AWT,m,
416,ARR,m,
417,ABY,m,
418,AHN,m,
419,ATN,m,
420,ATB,m,
421,KTL,m,
422,AUK,m,
423,AYR,m,
424,BLD,m,
425,BMB,m,
426,BAM,m,
427,BAN,m,
428,BAR,m,
429,BTB,m,
430,BNY,m,
431,BRR,m,
432,BRL,m,
433,BSK,m,
434,BTL,m,
435,BDM,m,
436,BEE,m,
437,BLV,m,
438,BEM,m,
439,BEY,m,
440,BEN,m,
441,BTY/BYK,m,
442,BBW,m,
443,BRK,m,
444,BWK,m,
445,BES,m,
446,BEV,m,
447,BIL,m,
448,BIY,m,
449,BWD,m,
450,BHI,m,
451,BHM,m,
452,Birmingham,m,
453,BBN,m,
454,BPN,m,
455,BPB,m,
456,BPS,m,
457,Blackpool,m,
458,BLK,m,
459,BOD,m,
460,BON,m,
461,BTD,m,
462,BSN,m,
463,BMH,m,
464,BOA - Bradford,m,
465,BDQ,m,
466,BDI,m,
467,BMY/BLE,m,
468,BSM,m,
469,BDY,m,
470,BGN,m,
471,BWT,m,
472,BDT,m,
473,BTN,m,
474,BGH,m,
475,GLH,m,
476,BNT,m,
477,BPW,m,
478,BRI,m,
479,RBS,m,
480,BGE,m,
481,BCU,m,
482,BHS,m,
483,Brocklesby,m,
484,BNR,m,
485,BMF,m,
486,BUH,m,
487,BGL,m,
488,BUY,m,
489,BUW,m,
490,BNA,m,
491,BUD,m,
492,BYM,m,
493,Burnley Transpennine,m,
494,BCB,m,
495,BUT,m,
496,BSE,m,
497,CBN,m,
498,CBG,m,
499,Cardiff,m,
500,CDB - Cardiff Bute Road,m,
501,CDF,m,
502,CDQ,m,
503,CAK,m,
504,CAR,m,
505,CNF,m,
506,CAN,m,
507,CRS,m,
508,CFD,m,
510,CTL,m,
511,CLN,m,
512,CSR,m,
513,CNM,m,
514,CYT,m,
515,CTR,m,
516,CHD,m,
517,CLS,m,
518,CLY,m,
519,CRL,m,
520,CHF,m,
521,CTW,m,
522,CTK,m,
523,CPY,m,
524,CPY - (North Yorkshire),m,
525,CLE,m,
526,CLI,m,
527,CNS,m,
528,CEY,m,
529,CGM,m,
530,COT,m,
531,COV,m,
532,CRE,m,
533,CFL,m,
534,CRG,m,
535,CMY,m,
536,CWE,m,
537,Cooper,m,
538,DSY,m,
539,DAR,m,
540,DAN,m,
541,DRT,m,
542,DWL,m,
543,DWW,m,
544,DGT,m,
545,DHN,m,
546,DBD,m,
547,DNT,m,
548,DBY,m,
549,DEW,m,
550,Didcot,m,
551,DID,m,
552,Diggle,m,
553,DOD,m,
554,DON,m,
555,DCH,m,
556,DOR,m,
557,DGS,m,
558,DRF,m,
559,DRO,m,
560,DMF,m,
561,DUN,m,
562,DEE,m,
563,DNL,m,
564,DHM,m,
565,EAG,m,
566,EAL,m,
567,ERL,m,
568,East Anglia,m,
569,EBL,m,
570,ECR (old),m,
571,EDY,m,
572,EGF,m,
573,ESL,m,
574,EGN,m,
575,ECC,m,
576,EDL,m,
577,EDG,m,
578,EDB,m,
579,Elland Road (?),m,
580,Elland (?),m,
581,ELR,m,
582,Elsham,m,
583,EXD,m,
584,FRF,m,
585,FKK,m,
586,FKG,m,
587,FNW,m,
588,FEA,m,
589,FRY,m,
590,FIL,m,
591,FPK,m,
592,FZW,m,
593,FLI,m,
594,FZH,m,
595,Gainsborough,m,
596,GNB,m,
597,GBL,m,
598,GRF,m,
599,GGV,m,
600,GSD,m,
601,Gateshead Metrocentre,m,
602,GST,m,
603,GTY,m,
604,GTW,m,
605,GIG,m,
606,GBD,m,
607,GIR,m,
608,Glasgow,m,
609,GLC,m,
610,GLQ,m,
611,GLZ,m,
612,GCR,m,
613,GOE,m,
614,GOO,m,
615,GTO,m,
616,GRA,m,
617,GYM,m,
618,GNF,m,
619,GEA,m,
620,GMD,m,
621,GMB,m,
622,Grimsby,m,
623,GRN,m,
624,GUI,m,
625,GSY,m,
626,HAB,m,
627,HGF,m,
628,HED,m,
629,HFX,m,
630,HPN,m,
631,HPQ - Harwich Parkstone Quay,m,
632,HAT,m,
633,HMM,m,
634,HGT,m,
635,HPL,m,
636,Harwich,m,
637,HWC,m,
639,HFS,m,
640,HSG,m,
641,HVN,m,
642,Hawksworth (?),m,
643,HAL,m,
644,HYM,m,
645,HDY,m,
646,HDG,m,
647,HBD,m,
648,HEC,m,
649,HLD,m,
650,HEL,m,
651,HES,m,
652,HEW,m,
653,HHB - Heysham,m,
654,HHB,m,
655,HIG,m,
656,HIN,m,
657,HIT,m,
658,HOY,m,
659,"HOP,HPE",m,
660,HBP,m,
661,HRS,m,
662,HIR,m,
663,HSC,m,
664,HGN,m,
665,HOW,m,
666,HBB,m,
667,HUD,m,
668,HUL,m,
669,HUP,m,
670,HCT,m,
671,HUB,m,
672,HUN,m,
673,HNX,m,
674,HUT,m,
675,HUY,m,
676,HYC,m,
677,HYT,m,
678,ILK,m,
679,INC,m,
680,INK,m,
681,INV,m,
682,IPS,m,
683,IRL,m,
684,KSL,m,
685,KEI,m,
686,KEN,m,
687,KNS,m,
688,KET,m,
689,KID,m,
690,KMK,m,
691,KLM,m,
692,KGX - Kings Cross,m,
693,KLN,m,
694,KSW,m,
695,KDY,m,
696,KRK,m,
697,KKM - Kirkham,m,
698,KKM,m,
699,KKS,m,
700,KIV,m,
701,KVP,m,
702,KNA,m,
703,KNO,m,
704,LDY,m,
705,LAN,m,
706,LGW,m,
707,LGM,m,
708,LZB,m,
709,LAY,m,
710,LMS,m,
711,LDS,m,
712,LEI,m,
713,LEU,m,
714,LEY,m,
715,LCN - Lincoln,m,
716,LSK,m,
717,LIC - Lichfield,m,
718,LIC,m,
719,LTV,m,
720,LTL,m,
721,LIV,m,
722,LOC,m,
723,LCK,m,
724,EUS,m,
725,KGX,m,
726,MYB,m,
727,MOG - London Moorgate,m,
728,PAD,m,
729,STP,m,
730,London Underground services,m,
731,LGK,m,
732,LGE,m,
733,LPR,m,
734,LOT,m,
735,LOH,m,
736,LOS,m,
737,LBO,m,
738,LWT,m,
739,LMR,m,
740,LUT,m,
741,LTN - Luton Airport,m,
742,LUX,m,
743,LTM,m,
744,MLT,m,
745,MIA,m,
746,MCO,m,
747,MAN,m,
748,MCV,m,
749,Manchester,m,
750,MHR,m,
751,MNC,m,
752,MPL,m,
753,MSN,m,
754,MSK,m,
755,MAU,m,
756,MAY,m,
757,MHS,m,
758,MMO,m,
759,MNN,m,
760,MEO,m,
761,MEC,m,
762,MGM,m,
763,MCE,m,
764,MEX,m,
765,MIK,m,
766,MBR,m,
767,WHG,m,
768,MLH,m,
769,MIH,m,
770,MIR,m,
771,Molescroft (?),m,
772,MTS,m,
773,MOG,m,
774,MSD,m,
775,MRP,m,
776,MCM,m,
777,MLY,m,
778,MPT,m,
779,MSS,m,
780,MSL,m,
781,MOS,m,
782,MSO,m,
783,MTH,m,
784,MYT,m,
785,NFN,m,
786,NTH,m,
787,NNG,m,
788,NCL,m,
789,NCE,m,
790,NCK,m,
791,NLN,m,
792,NMC,m,
793,NMN,m,
794,NWM,m,
795,"NEW,NWP",m,
796,NPD,m,
797,NQY,m,
798,NTA,m,
799,NAY,m,
800,NLW,m,
801,NOA,m,
802,NIT,m,
803,NOR,m,
804,Northern Ireland,m,
805,North Wales,m,
806,NTR,m,
807,NRW,m,
808,NOT,m,
809,KNO,m,
810,NUN,m,
811,OKM,m,
812,OUT,m,
813,OXF,m,
814,OXN,m,
815,OXN - The Lake District,m,
816,PAD - Paddington,m,
817,PDG,m,
818,PGN,m,
819,PNL,m,
820,PAR,m,
821,PBL,m,
822,Park,m,
823,PKS,m,
824,PAT,m,
825,Pendleton,m,
826,PNS,m,
827,PNZ,m,
828,PTH,m,
829,PBO,m,
830,PLS,m,
831,PLY,m,
832,PWW,m,
833,PFR,m,
834,PFM,m,
835,POT,m,
836,POO,m,
837,POP,m,
838,PLN,m,
839,PTA,m,
840,PTW - Prestwick,m,
841,PTL,m,
842,PFY,m,
843,PRE,m,
844,QUI,m,
845,RNH,m,
846,RVN,m,
847,RWC,m,
848,RDG,m,
849,RBS - Redcar British Steel,m,
850,RCC,m,
851,RCE,m,
852,Redcar,m,
853,RDN,m,
854,RED,m,
855,RET,m,
856,RHD,m,
857,RIS,m,
858,ROB,m,
859,RCD,m,
860,ROC,m,
861,RML,m,
862,,,
863,,,
864,,,
865,,,
866,,,
867,,,
868,,,
869,,,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,,,
881,,,
882,,,
883,,,
884,,,
885,,,
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
896,,,
897,,,
898,,,
899,,,
900,,,
901,,,
902,,,
903,,,
904,,,
905,,,
906,,,
907,,,
908,,,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,,,
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,,,
932,,,
933,,,
934,,,
935,,,
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,,,
943,,,
944,,,
945,,,
946,,,
947,,,
948,,,
949,,,
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,,,
969,,,
970,,,
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,,,
999,,,
1000,Gateshead,m,
1001,Gateshead Interchange,m,
1002,Gateshead Interchanges,m,
1003,Central Station,m,
1004,South Shields,m,
1005,PAW,m,
1006,WBQ,m,
1007,Falkirk,m,
1008,AGT,m,
1009,AMY,m,
1010,Amsterdam,m,
1011,ADV,m,
1012,ANG,m,
1013,ARU,m,
1014,AVF,m,
1015,BAB (old),m,
1016,BAA,m,
1017,BTH,m,
1018,BEU,m,
1019,BDH,m,
1020,BIL,m,
1021,BTE,m,
1022,BOH,m,
1023,BOE,m,
1024,BOA,m,
1025,BDN,m,
1026,BDN - Isle of Wight,m,
1027,BNF,m,
1028,Bristol,m,
1029,BKO,e,
1030,Brussels,m,
1031,BRU,m,
1032,BUG,m,
1033,BUO,m,
1034,BFN,m,
1035,CMN,m,
1036,CLC,m,
1037,CBY,m,
1038,CPW,m,
1039,CCH,m,
1040,CHH,m,
1041,CHR,m,
1042,CLJ,m,
1043,Cologne,m,
1044,CSA,m,
1045,Cowes (Isle of Wight),m,
1046,CRW,m,
1047,FOC (?) - Cruachan (?),m,
1048,DEN,m,
1049,DMH,m,
1050,DUR,m,
1051,EWR,m,
1052,EBN,m,
1053,ENT,m,
1054,EMS,m,
1055,ESH,m,
1056,EVE,m,
1057,Exeter,m,
1058,EXC,m,
1059,FRM,m,
1060,FNB - Farnborough,m,
1061,FNC,m,
1062,FGT,m,
1063,FNT,m,
1064,FYS,m,
1065,FIT - Filton,m,
1066,FSB,m,
1067,FSG,m,
1068,FGH,m,
1069,FLE,m,
1070,FOD,m,
1071,FTN,m,
1072,FFD,m,
1073,FRO,m,
1074,"GIL,GLM",m,
1075,GOD,m,
1076,GBS,m,
1077,GWN,m,
1078,HME,m,
1079,HAM,m,
1080,HTF,m,
1081,HSL,m,
1082,HSK (old),m,
1083,HGS,m,
1084,HAV,m,
1085,HVF,m,
1087,HHE,m,
1088,HXX - Heathrow Airport,m,
1089,HDE,m,
1090,HER,m,
1091,HEX,m,
1092,HLS,m,
1093,HNA,m,
1094,HOL,m,
1095,HON,m,
1096,HOK,m,
1097,HRH,m,
1098,HOV,m,
1099,IFI,m,
1100,International,m,
1101,IVY,m,
1102,KYN,m,
1103,KWL,m,
1104,KGM,m,
1105,LKE,m,
1106,LKE - Isle of Wight,m,
1107,LAC,m,
1108,LIP,m,
1109,LIS,m,
1110,LIT,m,
1111,LVN,m,
1113,LLE,m,
1114,LAS,m,
1115,LBG,m,
1116,LYP,m,
1117,LYT,m,
1118,ANF - Lyndhurst Road,m,
1119,MAC,m,
1120,MIC,m,
1121,MLF,m,
1122,MFH,m,
1123,"MLB,MBK",m,
1124,"MTN,MRT",m,
1125,MIM,m,
1126,MOR,m,
1127,DBG - no 'and',m,
1128,NTL,m,
1129,NEM,m,
1130,NUT,m,
1131,OLF,m,
1132,OXN - Oxenholme,m,
1133,Paris,m,
1134,PWY,m,
1135,Paulsgrove,m,
1136,PBY,m,
1137,PMD,m,
1138,PCD,m,
1139,PNR,m,
1140,PTR,m,
1141,PIL,m,
1142,PIN,m,
1143,POK,m,
1144,PYC,m,
1145,PTA - Port Talbot,m,
1146,PTC,m,
1147,PLD,m,
1148,Portsmouth,m,
1149,PMS,m,
1150,PMH,m,
1151,PRP,m,
1152,PUL,m,
1153,PUR,m,
1154,PYL,m,
1155,RDW,m,
1156,RDB,m,
1157,RDH,m,
1158,ROM,m,
1159,RLN,m,
1160,RUN,m,
1161,Ryde,m,
1162,Ryde Isle of Wight,m,
1163,RYD,m,
1164,RYP,m,
1165,SAL,m,
1166,SAN,m,
1167,SAN - Isle of Wight,m,
1168,SRS,m,
1169,STJ,m,
1170,SHN,m,
1171,SHN - Isle of Wight,m,
1172,SHW,m,
1173,SHE,m,
1174,SHO,m,
1175,SSE,m,
1176,SKE,m,
1177,SOA - Southampton Airport,m,
1178,SOU,m,
1179,SOB,m,
1180,South Wales,m,
1181,SWK,m,
1182,UPL,m,
1183,SDN,m,
1184,RYR - St Johns Road,m,
1185,RYR - St Johns Road Isle of Wight,m,
1186,STA,m,
1187,SCS,m,
1189,SUR,m,
1190,SNW,m,
1191,SWY,m,
1192,SWG,m,
1193,SWI,m,
1194,TMC,m,
1195,TEN,m,
1196,KIR,m,
1197,TBD,m,
1198,TIS,m,
1199,TTN,m,
1200,TRO,m,
1201,UPW,m,
1202,VIC - Victoria,m,
1203,Wakefield,m,
1204,WAL,m,
1205,WBL,m,
1206,WMN,m,
1207,Warrington,m,
1208,WAT - Waterloo,m,
1209,WBY,m,
1210,WWO,m,
1211,WSB,m,
1212,WYB,m,
1213,WHM,m,
1214,WTL,m,
1215,Wigan,m,
1216,WML,m,
1217,WIM,m,
1218,WNF,m,
1219,WTY,m,
1220,WVF,m,
1221,WLS,m,
1222,WRH,m,
1223,YMH,m,
1224,YVJ,m,
1225,AXM,m,
1226,VXH,m,
1227,WOK,m,
1228,GLD,m,
1229,SOA,m,
1230,The East,m,
1231,The North East,m,
1232,The North West,m,
1234,sfx - silent then click?,m,
1236,The West of England,m,
1237,The North,m,
1238,The West,m,
1239,The South,m,
1240,00 - midnight,s,
1241,1,s,
1242,2,s,
1243,3,s,
1244,4,s,
1245,5,s,
1246,6,s,
1247,7,s,
1248,8,s,
1249,9,s,
1250,10,s,
1251,11,s,
1252,12,s,
1253,13,s,
1254,14,s,
1255,15,s,
1256,16,s,
1257,17,s,
1258,18,s,
1259,19,s,
1260,20,s,
1261,21,s,
1262,22,s,
1263,23,s,
1265,1,m,
1266,2,m,
1267,3,m,
1268,4,m,
1269,5,m,
1270,6,m,
1271,7,m,
1272,8,m,
1273,9,m,
1274,10,m,
1275,11,m,
1276,12,m,
1277,13,m,
1278,14,m,
1279,15,m,
1280,16,m,
1281,17,m,
1282,18,m,
1283,19,m,
1284,20,m,
1285,21,m,
1286,22,m,
1287,23,m,
1288,24,m,
1289,25,m,
1290,26,m,
1291,27,m,
1292,28,m,
1293,29,m,
1294,30,m,
1295,31,m,
1296,32,m,
1297,33,m,
1298,34,m,
1299,35,m,
1300,36,m,
1301,37,m,
1302,38,m,
1303,39,m,
1304,40,m,
1305,41,m,
1306,42,m,
1307,43,m,
1308,44,m,
1309,45,m,
1310,46,m,
1311,47,m,
1312,48,m,
1313,49,m,
1314,50,m,
1315,51,m,
1316,52,m,
1317,53,m,
1318,54,m,
1319,55,m,
1320,56,m,
1321,57,m,
1322,58,m,
1323,59,m,
1324,00 - hundred,m,
1325,00 - hundred-hours,m,
1326,via Maidstone East,"s,m",
1327,via Maidstone East,e,
1328,via Maidstone East and Ashford International,"s,m",
1329,via Maidstone East and Ashford International,e,
1330,Platform A,s,
1331,Platform B,s,
1332,Platform C,s,
1333,Platform D,s,
1338,Waterloo East. This is Waterloo East.,w,
1339,London Waterloo East. This is London Waterloo East.,w,
1344,the train now at,s,
1368,DBG - Dunbridge,"s,m",
1369,via the exit on this platform,m,
1370,for a special bus service,e,
1371,the special bus service,s,
1372,via the exit on platform,m,
1373,we regret that all services in the southampton area,s,
1374,are currently being delayed,e,
1375,please listen for further announcements,s,
1376,which will be made as soon as more information becomes available,e,
1377,we are doing all we can to restore normal services,s,
1378,as quickly as possible,e,
1379,and apologise for the delay to your journey,s,
1380,and any inconvenience this may cause,e,
1381,we regret that all services to,s,
1382,are currently being delayed,e,
1383,we regret that all services on the salisbury,s,
1384,and bristol line,m,
1385,or,m,
1387,please stand well away from the train at platform,s,
1388,north western trains,m,
1389,crosscountry intercity,m,
1390,this train is the service from,s,
1391,regional railways north east,m,
1392,connex south central,m,
1393,virgin trains,m,
1394,great north eastern railways,m,
1395,south london metro,m,
1396,bournemouth belle,m,
1397,wales and west alphaline,m,
1398,excursion,m,
1399,wales and west,m,
1400,sfx - silent then click?,,
1401,ABD,e,
1402,ACR,e,
1403,"ADC,ADL",e,
1404,AWK,e,
1405,ALF (old),e,
1406,Allerton,e,
1407,ALM,e,
1408,ALP,e,
1409,ANN,e,
1410,AFV,e,
1411,APP,e,
1412,APB,e,
1413,ARB,e,
1414,ADK,e,
1415,AWT,e,
1416,ARR,e,
1417,ABY,e,
1418,AHN,e,
1419,ATN,e,
1420,ATB,e,
1422,KTL,e,
1423,AYR,e,
1424,BLD,e,
1425,BMB,e,
1426,BAM,e,
1427,BAN,e,
1428,BAR,e,
1429,BTB,e,
1430,BNY,e,
1431,BRR,e,
1432,BRL,e,
1433,BSK,e,
1434,BTL,e,
1435,BDM,e,
1436,BEE,e,
1437,BLV,e,
1438,BEM,e,
1439,BEY,e,
1440,BEN,e,
1441,BTY/BYK,e,
1442,BBW,e,
1443,BRK,e,
1444,BWK,e,
1445,BES,e,
1446,BEV,e,
1447,BIL,e,
1448,BIY,e,
1449,BWD,e,
1450,BHI,e,
1451,BHM,e,
1452,Birmingham,e,
1453,BBN,e,
1454,BPN,e,
1455,BPB,e,
1456,BPS,e,
1457,Blackpool,e,
1458,BLK,e,
1459,BOD,e,
1460,BON,e,
1461,BTD,e,
1462,BSN,e,
1463,BMH,e,
1464,BOA - Bradford,e,
1465,BDQ,e,
1466,BDI,e,
1467,BMY/BLE,e,
1468,BSM,e,
1469,BDY,e,
1470,BGN,e,
1471,BWT,e,
1472,BDT,e,
1473,BTN,e,
1474,BGH,e,
1475,GLH,e,
1476,BNT,e,
1477,BPW,e,
1478,BRI,e,
